Gene	TCGA.A7.A0CE.01	TCGA.A7.A0CH.01	TCGA.A7.A0D9.01	TCGA.A7.A0DB.01	TCGA.A7.A0DC.01	TCGA.A7.A13E.01	TCGA.A7.A13F.01	TCGA.A7.A13G.01	TCGA.AC.A23H.01	TCGA.AC.A2FB.01	TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A0DC.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11
RDBP	10.5962	9.8888	10.0494	10.0747	10.4939	10.9008	10.4403	9.7396	9.5394	9.5844	10.3321	10.4423	10.2344	9.9417	9.8652	9.5865	9.8674	9.5113	9.6794	10.1383
SIGLEC8	1.8922	5.689	3.6937	5.18	2.8896	3.5454	5.1015	5.5955	5.1137	7.7037	6.7333	5.443	3.7792	4.3271	5.1864	4.7473	5.6423	4.359	6.8695	6.8932
CD5L	0	0	0	0.8208	0	0	0	0.3438	0.6736	1.3901	1.5384	2.0032	0	0	0	0.5733	0	0	0.7787	1.1393
NBL1	10.5492	11.2865	11.0456	11.7589	11.398	10.3514	10.2003	10.1234	11.6515	11.7733	12.0178	12.4471	11.7321	11.9809	11.6285	11.2411	11.157	9.9619	11.0632	11.9044
FOLR4	0	0.5222	0	0	0	0	0.4871	0	0	0.98	0.3978	0	0.5938	0	0	0	0	0	0.4413	0.3793
DNM1L	11.7126	10.7064	11.4038	10.0205	11.0837	10.5855	10.9755	10.5418	11.1349	10.4124	10.4215	10.1825	10.5285	10.4432	10.7037	10.6985	10.4243	10.5855	10.7802	10.3976
LETMD1	9.2801	9.472	9.9832	9.5715	10.0047	9.0947	9.3109	10.0443	9.128	9.6615	10.235	10.5035	10.522	10.5044	10.2383	10.3392	10.7724	11.7711	11.1685	10.6614
SIGLEC7	4.9464	4.1353	4.3174	6.3949	1.6494	4.1066	5.4585	3.8262	4.6325	6.0479	5.4959	5.7856	5.2923	6.9505	4.3626	4.9431	4.4367	3.3142	3.4619	4.8259
FOLR1	8.2911	2.9149	5.7018	5.6562	2.8896	8.4401	3.0407	2.253	0.3758	6.871	9.2419	8.1867	4.1947	0	7.3502	6.7065	9.2556	0	9.2373	9.3533
FOLR2	6.8821	7.1034	6.7609	8.6056	3.5466	6.7459	5.9738	3.9569	5.0503	7.9219	9.7726	10.8935	10.8709	12.1114	9.8023	11.4213	10.4001	10.3324	9.8408	10.6771
