Gene_name	S02_Normal	S03_Normal	S05_Normal	S06_Normal	S10_Normal	S02_Tumour	S03_Tumour	S05_Tumour	S06_Tumour	S10_Tumour
LACTBL1	0	0	0	3	0	0	0	0	0	0
STK11IP	169	63	188	71	163	196	225	178	144	103
UBE2O	79	60	121	169	226	161	210	219	134	166
GAB1	195	27	111	60	67	95	49	24	124	11
OR6C70	0	0	0	0	0	0	0	0	0	1
CLEC12B	16	0	31	3	0	0	0	0	0	2
DYNC1I2	147	41	163	159	218	362	176	308	134	235
TRPC5	0	0	0	1	0	0	0	0	0	1
ZNF2	0	0	0	4	15	0	0	0	0	1
ZBTB7C	182	100	123	118	155	41	14	77	0	26
ALMS1	30	19	20	71	52	68	51	28	117	9
SLC4A7	227	43	112	122	146	183	79	103	0	144
HIST1H3B	133	77	164	67	82	191	338	519	137	160
TATDN3	22	33	70	25	99	67	10	6	0	35
OR6C4	0	0	0	0	0	0	0	0	0	0
PEX7	307	79	61	102	197	88	96	116	47	134
ZNF257	0	0	0	0	2	0	0	0	0	1
SPTB	36	3	0	54	40	60	0	19	0	9
CHST12	78	51	147	140	166	96	124	19	53	42
OR51V1	21	2	14	12	0	17	0	1	122	4
GRAMD4	105	51	107	80	86	67	31	53	0	42
TMEM132B	0	3	0	54	20	19	10	0	0	5
R3HDM1	0	0	0	0	4	0	0	0	0	0
VAX2	41	1	29	13	5	24	22	13	39	22
OR6C75	0	0	0	0	0	0	0	0	0	1
FAM131B	0	2	20	6	9	0	8	24	0	2
SH2D3C	63	32	140	85	77	184	240	101	0	33
ZNF708	21	10	53	31	44	27	14	0	0	21
XK	43	4	0	29	14	35	16	1	0	3
TSPAN17	275	152	557	196	376	739	423	833	425	240
FMNL2	385	234	751	550	934	1384	1552	2065	1199	977
DNASE1L2	215	284	356	55	499	42	196	86	91	22
UCK2	408	91	269	355	414	271	142	173	0	282
DLG2	0	2	0	10	5	22	0	6	0	0
OR10AG1	0	0	0	0	0	0	0	0	0	0
SEC11C	319	239	258	329	2218	312	350	276	85	1210
RASGRP4	13	39	18	12	47	51	52	28	37	7
MRPL17	251	124	223	377	418	605	510	365	242	289
COL11A1	0	11	0	73	0	155	9	1	0	8
INTS7	16	1	0	0	7	0	0	0	60	9
ORC3	98	77	189	136	154	185	193	190	0	144
DYNC1H1	32	11	0	109	121	59	46	62	0	42
TNPO3	33	18	56	21	36	17	33	0	0	38
ZNF8	109	25	175	100	61	117	67	23	0	23
OR6C6	0	0	0	0	0	0	0	0	0	0
RGL3	27	30	20	95	20	11	94	6	0	10
TUBGCP5	18	1	0	4	0	10	22	2	0	5
VIPAS39	332	126	164	176	336	258	104	190	79	146
ARFIP1	12	3	0	11	4	9	8	7	0	0
TGFBR3L	13	0	0	0	0	0	0	0	0	2
MCM2	41	3	94	6	24	15	9	26	0	22
PCNP	163	81	245	153	273	341	120	207	114	71
TMTC1	211	62	160	205	343	120	40	25	0	88
CDON	369	95	204	430	288	39	38	46	0	46
LTO1	102	21	131	57	93	81	105	49	0	47
PHYH	75	54	49	117	129	93	16	0	0	31
APOOL	306	113	137	170	321	142	128	25	0	64
ANK2	164	52	134	125	136	15	14	0	18	2
SLC4A4	0	1	24	33	1	0	0	0	0	0
SRCIN1	18	9	0	8	25	0	0	0	0	3
NEBL	45	19	33	23	59	12	0	0	0	6
CPNE8	26	17	43	53	42	55	19	101	26	64
MYOT	0	0	0	0	0	0	0	0	0	0
NPY2R	0	0	16	9	5	0	0	0	0	0
NUTM2G	0	0	0	4	0	0	0	0	0	0
TGFBI	1956	852	2056	4299	4188	4928	3575	5756	1514	2303
ZNF600	0	3	46	14	35	39	0	11	0	8
C4A	14	21	0	90	12	21	10	0	0	16
FOXJ1	5	4	0	0	7	0	0	0	0	13
SLC2A12	0	0	0	0	0	0	0	0	0	0
APTX	518	231	497	303	545	709	114	195	65	201
PIK3CB	204	25	12	50	99	104	16	69	28	100
SLC15A4	809	241	560	668	863	736	210	387	334	383
TRIM71	0	0	0	2	0	0	0	0	0	1
PPP3CC	0	2	0	4	8	10	7	5	0	0
SCYL1	258	101	99	205	552	348	292	386	193	222
VASH2	0	0	0	2	0	15	0	0	0	0
FAM151B	64	40	91	44	84	92	12	46	34	72
CFAP70	41	19	0	16	11	5	0	13	0	14
ZNF821	0	6	21	0	3	0	0	14	0	0
KITLG	330	66	155	190	198	258	112	143	20	68
RGS12	297	92	116	235	263	255	288	220	111	149
GLE1	210	102	191	135	165	306	152	171	200	141
PACSIN1	50	5	0	14	13	49	1	36	0	14
DOP1A	73	13	26	9	37	32	22	20	0	11
TEN1	262	69	284	91	141	220	129	105	29	34
ARMC3	0	0	0	0	0	0	0	0	0	1
GPANK1	67	32	0	55	42	38	97	103	0	35
MED19	17	36	57	109	143	142	99	18	0	69
SPAG16-DT	0	0	0	0	0	0	0	0	0	1
LITAF	243	69	93	93	148	64	0	97	0	69
MAPK10	0	1	1	15	5	9	0	0	0	4
KCNN1	0	0	0	0	0	0	0	0	0	0
TNFRSF19	873	162	242	495	413	242	205	196	140	181
DPYSL5	0	0	0	0	0	0	0	0	0	0
CTXN3	0	0	0	0	0	0	0	0	0	0
EXD2	51	1	29	27	29	28	7	18	0	19
ELOA	40	10	0	0	7	32	8	10	0	2
CCDC177	0	4	0	0	3	0	26	0	0	0
LMAN2	649	426	609	823	1043	608	353	614	44	622
ADCYAP1R1	0	0	0	7	5	0	0	0	0	1
