"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene.symbol"
"ENSG00000100209",437.426557420646,-0.231856876922627,0.181965400466473,-1.2741811153563,0.202599236313234,0.398523857955556,"HSCB"
"ENSG00000100211",736.064011557567,-0.0268893628204044,0.235123631248448,-0.114362655415062,0.908950316383995,0.955303284182386,"CBY1"
"ENSG00000100216",2281.02620688087,0.310531738460483,0.167715887402414,1.85153442091862,0.0640927075746515,0.184174789067425,"TOMM22"
"ENSG00000100218",8.59108494079523,-2.20486629205706,0.798991009552991,-2.75956333137042,0.00578786674798626,0.0304282479645884,"RSPH14"
"ENSG00000100219",4633.43943644473,0.149506362948707,0.222544703978594,0.671803733253916,0.501708651769551,0.695249625923176,"XBP1"
"ENSG00000100220",3273.41897480276,0.629374349918801,0.239187753146975,2.6312983906499,0.00850593177530319,0.0411640988104261,"RTCB"
"ENSG00000100221",2584.58410679081,0.370667423421815,0.197426313166233,1.87749757100368,0.0604499299397393,0.176715168301483,"JOSD1"
"ENSG00000100225",3035.84726890862,0.489156865211207,0.187478155429315,2.60914059075876,0.00907699412420684,0.0434637255798903,"FBXO7"
"ENSG00000100226",822.517040459186,0.53729633942096,0.271417731269224,1.97959188925651,0.0477494051023083,0.150766655899466,"GTPBP1"
"ENSG00000100227",2743.48869747182,0.288246145719885,0.176300233140686,1.63497313976815,0.102054678497932,0.2546430159941,"POLDIP3"
"ENSG00000100228",299.271575719574,-0.327257573436736,0.354891968591929,-0.922132937341931,0.356459238345368,0.568308714418747,"RAB36"
"ENSG00000100234",3254.39928410188,1.9532642852031,0.299723838185238,6.516879995364,7.17848092265121e-11,2.96371022460558e-09,"TIMP3"
"ENSG00000100239",2209.10194475243,0.184405173284264,0.167902628928195,1.09828639647522,0.272079450166201,0.480799705951293,"PPP6R2"
"ENSG00000100241",6672.07500625026,0.208787737686768,0.134219696272286,1.55556705524954,0.119811077804458,0.283771926498849,"SBF1"
"ENSG00000100242",1703.68900086397,1.31220592646827,0.243070963971115,5.39844786489678,6.72198950979368e-08,1.54480969316038e-06,"SUN2"
"ENSG00000100243",8579.26992018051,0.0833958352030211,0.143276758661655,0.582061152011113,0.560525491036221,0.742402703036883,"CYB5R3"
"ENSG00000100246",398.425935688649,0.500188210390986,0.233446272167998,2.14262667698986,0.0321430872957217,0.113731895578174,"DNAL4"
"ENSG00000100253",22.0118817846192,-0.724910891843411,0.631519124872819,-1.14788430514974,0.251016328165067,0.457286588609549,"MIOX"
"ENSG00000100258",3440.39128047534,0.436534914562503,0.219925873511969,1.98491840724118,0.0471535500769686,0.149367838856914,"LMF2"
"ENSG00000100263",828.759646910696,0.368005355012058,0.244452381437248,1.5054275718174,0.132214184892667,0.303434087167461,"RHBDD3"
"ENSG00000100266",4362.91521998971,-0.0684367487748926,0.179828481632697,-0.380566794278316,0.703524724689975,0.840274690471998,"PACSIN2"
"ENSG00000100271",82.7344862572203,-0.618621687647616,0.398552452752957,-1.55217132243085,0.120621235948357,0.285145223465952,"TTLL1"
"ENSG00000100276",16.8022386892205,-0.0875741576357644,0.575565135483386,-0.15215333979918,0.879065994828731,0.940086900108605,"RASL10A"
"ENSG00000100280",4719.29652268922,0.48438056338352,0.188568038854817,2.56873098073876,0.0102071662653974,0.0476462720920473,"AP1B1"
"ENSG00000100281",1207.40650396806,0.360847035674808,0.202692988515988,1.78026402549363,0.0750327616114693,0.205797712836787,"HMGXB4"
"ENSG00000100284",873.102759860626,0.301614544696707,0.193109049999572,1.56188715493849,0.118314575012101,0.281448032718383,"TOM1"
"ENSG00000100288",18.7877266552127,0.148939417008596,0.537627498348161,0.277030876333905,0.781756397734556,0.887983414729831,"CHKB"
"ENSG00000100290",170.605484929445,-0.976600495079014,0.321524059365685,-3.03741031699366,0.00238620398517971,0.0150609863360986,"BIK"
"ENSG00000100292",543.255069174267,0.931158200773779,0.252961348744613,3.68102955409945,0.0002322940747255,0.00217303207736917,"HMOX1"
"ENSG00000100294",917.808595764761,-0.0890711092632443,0.168077754662768,-0.529939904551657,0.596153597757562,0.768908533497269,"MCAT"
"ENSG00000100296",1663.35478428811,0.710917859707207,0.197232642805758,3.6044634883656,0.000312798416540949,0.00279651121653774,"THOC5"
"ENSG00000100297",3029.36246891763,0.412113870451669,0.243972325313354,1.68918286089358,0.0911843924362813,0.235101774944364,"MCM5"
"ENSG00000100299",1138.53411648067,0.344112764543044,0.216774686442021,1.58742134605777,0.112417247896632,0.27150697574048,"ARSA"
"ENSG00000100300",5993.90776881861,0.00164374436577132,0.222629384859314,0.00738332168868923,0.994109015140177,0.997169442976391,"TSPO"
"ENSG00000100302",27.8587646097637,5.37610080009602,0.923983128527237,5.81839714829549,5.94146002774959e-09,1.71049567837647e-07,"RASD2"
"ENSG00000100304",6128.81297097216,-0.115756612560753,0.232128329246016,-0.498675077431288,0.618008304852548,0.784456147458751,"TTLL12"
"ENSG00000100307",395.836777991669,0.945775770556177,0.20138368187948,4.69638732259443,2.64803201065198e-06,4.32465315794165e-05,"CBX7"
"ENSG00000100311",760.597253774919,3.15599488130915,0.298661891248293,10.5671161061704,4.23312065187544e-26,8.36221461539096e-24,"PDGFB"
"ENSG00000100316",17321.3120832321,0.356738141570788,0.159763428478977,2.23291491029645,0.0255545561339124,0.0955385051070815,"RPL3"
"ENSG00000100319",381.610023427364,-0.196584689533062,0.250025307098861,-0.78625916637843,0.431715669655084,0.638055417846646,"ZMAT5"
"ENSG00000100320",3153.63955368301,0.788555037043041,0.214906307121803,3.6692968559369,0.000243218520686208,0.00225929200131175,"RBFOX2"
"ENSG00000100321",733.762221208206,0.408115559838605,0.167910685407262,2.43055144971109,0.0150758654559354,0.064607372640495,"SYNGR1"
"ENSG00000100324",913.974002861841,0.334614400348099,0.150611040684296,2.22171229166062,0.0263027553374562,0.0978005334123397,"TAB1"
"ENSG00000100325",2276.40480398843,0.32043671086091,0.180810369481639,1.77222529758422,0.0763571658824337,0.207927384661656,"ASCC2"
"ENSG00000100330",1067.72391801685,0.485120244274589,0.179407961400915,2.70400622406334,0.00685090059061197,0.0346633169120092,"MTMR3"
"ENSG00000100335",2454.05110174498,0.624665950932339,0.219119284092029,2.85080317563462,0.00436089545952689,0.0244202255090334,"MIEF1"
"ENSG00000100341",28.0443138185953,1.33095501225279,0.432049337010853,3.08056256135246,0.00206609944670719,0.0133399399305655,"PNPLA5"
"ENSG00000100342",4161.0375071581,0.538068445917941,0.371906585456704,1.4467838617517,0.147957468076954,0.326064826100279,"APOL1"
"ENSG00000100344",681.515521667078,0.186545454472662,0.188087737973884,0.991800191135075,0.321295004417269,0.533218051515288,"PNPLA3"
"ENSG00000100345",49595.6131580497,1.35631887166388,0.287861412467194,4.71170783204037,2.45649396942695e-06,4.04026895644721e-05,"MYH9"
"ENSG00000100347",2397.6851392343,-0.0485463325780737,0.141084110564877,-0.344094968481584,0.730774866703607,0.857226344872822,"SAMM50"
"ENSG00000100348",1514.04740952505,0.217694805803159,0.191957819621029,1.13407625817453,0.256762561568834,0.463435459347947,"TXN2"
"ENSG00000100350",3417.29234558389,0.305721510174739,0.21502012941399,1.42182739359307,0.155076365085517,0.33608928843055,"FOXRED2"
"ENSG00000100353",7441.8664849128,0.427694558061233,0.177532584932222,2.40910454959306,0.0159917161241913,0.0674876780860878,"EIF3D"
"ENSG00000100354",1187.77777459768,0.472840206621288,0.168296720854536,2.80956280205826,0.00496088392800454,0.0270063481850238,"TNRC6B"
