"","S02_Normal","S03_Normal","S05_Normal","S06_Normal","S10_Normal","S02_Tumour","S03_Tumour","S05_Tumour","S06_Tumour","S10_Tumour"
"LAP3",1080.89438588582,1387.29113818704,1358.05460780954,1566.54928749209,1656.9739491459,1310.65180427171,829.99075148728,1317.64683271163,1261.63189209479,2510.478260354
"LRRC15",250.287450931926,690.693885820783,147.366836938565,2648.17135020239,228.023937955858,858.630632969047,95.9644903318626,119.99721449489,92.2776323954224,191.772644888153
"JAK2",25.2656101887117,9.83894424246129,0,16.2243309406546,15.2015958637239,5.589133493696,7.14629183322381,37.1604277145467,0,13.6980460634395
"KIAA1109",44.2148178302456,78.7115539396903,37.4523452993039,49.5743445408889,41.1709887975855,43.315784576144,4.08359533327075,10.8384580834094,0,65.9996764874811
"KNSTRN",146.06680890349,639.531375759984,239.369337347725,112.668964865657,432.612082288475,131.344637101856,306.269649995306,332.121322698761,394.827246806644,439.582750944921
"LIG4",74.2177299293407,96.4216535761207,61.8777878858065,54.9824548544404,39.9041891422751,42.617142889432,17.3552801664007,43.3538323336378,102.866868899815,32.3771997863115
"MAP2K3",261.341155389487,291.232749576854,261.352235675577,255.983888174772,383.206895731372,298.320000226024,283.809875662317,428.119094294673,320.702591275894,149.433229782976
"KDELR1",860.609847052994,879.60161527604,673.32803396792,1233.95050320867,993.804329590948,853.740141162063,963.728498651897,622.437164218657,986.311742980581,605.204580621053
"KIF5B",2650.52041885954,1686.39504315787,1735.02060506123,2170.45493917201,1784.28731450459,1626.43784666553,2352.15091196395,2204.85204439644,4397.5586454671,3495.49230000678
"LAMC1",1573.5737845657,2137.01868946259,1353.16951929224,5745.21585642956,2074.38443557065,1578.23157028241,1303.68781014669,623.985515373429,1004.46471984525,1029.84400858768
"LPGAT1",33.1611133726842,11.8067330909536,64.3203321444567,9.91486890817778,8.86759758717225,11.876908674104,18.3761789997184,27.0961452085236,0,17.4338768080139
"MAPKAPK2",574.792631793192,468.333745941158,542.244825420357,726.489485453754,571.96004437261,557.516065996176,388.962455494039,390.18449100274,523.410832931413,992.485701141933
"ITGB5",243.971048384748,244.00581721304,130.269027128014,372.25825991613,216.622741058065,228.455831554824,24.5015719996245,29.4186719406828,0,12.4527691485813
"SORBS1",16.5805566863421,1.96778884849226,17.9119912301019,18.0270343785051,0,18.863325541224,0,10.8384580834094,21.1784730087855,16.1885998931557
"CSNK1E",7.89550318397242,9.83894424246129,0,15.3229792217293,6.96739810420677,16.767400481088,19.3970778330361,7.74175577386389,0,1.24527691485813
"LCP1",301.608221627746,47.2269323638142,445.357236493896,287.531198337156,892.460357166122,394.73255299228,7.14629183322381,510.955881075017,49.9206863778515,404.714997328894
"MAD2L1",7.89550318397242,19.6778884849226,0,1.80270343785051,4.43379879358613,6.287775180408,0,0,36.3059537293465,16.1885998931557
