"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GCNT1",57.3224016467742,-1.69455610812579,0.910125341506648,-1.86189311608506,0.0626181575724098,0.22689833079137
"FAT4",208.968539513678,-1.84758005099392,0.465455230394265,-3.96940442462945,7.20524999885095e-05,0.00270679277734612
"COL6A6",51.8442574147289,-1.999819375149,0.887167726599713,-2.25416154712232,0.0241860068878422,0.129665046431982
"TRAFD1",165.994028065596,0.0382537186294733,0.48403036803792,0.0790316499862184,0.937007448740146,0.97439907090596
"FOXO6",33.020344037659,-2.86794322893011,0.864667507413079,-3.3168162378513,0.000910494808705203,0.0156733479733509
"EGFL6",59.8443583116692,1.06744562429234,0.685413367981241,1.55737497130572,0.11938148493529,0.325134813279873
"SRF",283.496000546776,-0.921840585911716,0.58153882719321,-1.5851746139823,0.112926666638594,0.315878452757002
"RNF38",29.0440605359048,-2.68553019298652,1.17630287434401,-2.28302612495457,0.0224288295261122,0.123785877390379
"DEDD2",224.93081762219,1.69920839897885,0.495236245247258,3.43110669965297,0.000601124107837253,0.0119450966535712
"CYP4F22",1374.1453866377,-0.748801952611444,0.521206195416926,-1.43667124296644,0.150811429791404,0.3691065554544
"PIGZ",21.6111256617079,-2.79397240167036,1.31037855477908,-2.1321872152749,0.0329914590465203,0.155923074905884
"CCNY",126.212051717201,-1.9036870136032,0.80920030260041,-2.35255351176415,0.018645006813379,0.110970821386821
"SRC",258.554380564258,0.995108297632215,0.364449788751345,2.73044004509261,0.0063249836634757,0.0563642739230215
"NMB",79.3131517209869,0.125594556149324,0.538145812469729,0.233383877081434,0.815463331760948,0.911709300712215
"PIGV",18.0717606126301,-0.787159049318133,0.964335919743274,-0.816270589119703,0.414345391773998,0.643983773683633
"ZFAND3",88.0254483983507,-0.824422464423887,0.938896121439019,-0.878076334110656,0.379902295024221,0.613520105595759
"WDR55",178.416221881335,0.401721294669071,0.425406382263458,0.944323619527367,0.345004299603287,0.583608299495694
"ADRB1",16.9685929364759,-3.84961146043266,1.26913679914934,-3.03325178421501,0.00241933649153796,0.0296756720720291
"KLHL7",34.9419347728892,-0.974099349443958,0.78455838600987,-1.24158936646903,0.214388107077086,0.450146748394658
"SLC34A2",31.1035118962772,-0.872484141717241,1.29226287184743,-0.675159954468032,0.499574145858871,0.711380635777005
"PACSIN2",491.821664042559,0.0142174138357888,0.278468489697375,0.0510557365080678,0.959281107110959,0.982968192131594
"CARD6",515.555335201033,1.0337285017226,0.279379045355931,3.70009318489018,0.000215520314395221,0.00582346488855611
"MYSM1",36.7881212938229,-0.801349000826956,0.770115221091303,-1.04055728140445,0.298081066087222,0.536953133528157
"G2E3",23.0322755855156,0.521794901789772,0.77343082845619,0.674649732842047,0.499898328012227,0.711688550331378
"KLHL6",12.8046259342941,1.43312068565008,1.38772824258526,1.03270989353092,0.301739682193647,0.541175043204955
"PALM2-AKAP2",129.981015794085,-0.488232656023367,0.957650709094893,-0.509823311763442,0.610175252280371,0.791361353060782
"RBFA",98.3710902105703,-0.50587728755538,0.530272462152924,-0.953995018903113,0.340086163752394,0.57907749938521
"FAM178B",16.0763914583299,-0.78943452674506,0.988432655776809,-0.798673052869387,0.424480015903316,0.651442445263166
"CD27",63.0447886756426,-0.0154039378818621,0.95537044549691,-0.0161235235551484,0.987135846870073,0.994603291573988
"IGHV1-69D",8.6170663864801,0.317847154731778,2.07463100933552,0.153206595920679,0.878235356290014,0.942270249871912
